,Hg0_pM,HgT_pM,DMHg_pM,MMHg_pM,PRES,TEMP,PSAL,DOXY,NITRAT,NITRIT,SILCAT,PHSPHT
0,,2.94,,0.036,24.0,19.11425,36.1221,233.5,0.0,0.0,0.49,0.01
1,,2.94,,0.036,24.0,19.11425,36.1221,233.5,0.0,0.0,0.49,0.01
2,,2.01,,0.034,35.0,18.8331,36.21075,235.0,0.06,0.03,0.58,0.09
3,,2.01,,0.034,35.0,18.8331,36.21075,235.0,0.04,0.02,0.68,0.05
4,,1.65,,0.03,40.0,18.54365,36.2169,237.3,0.1,0.05,0.78,0.07
5,,1.65,,0.03,40.0,18.54365,36.2169,237.3,0.1,0.05,0.68,0.05
6,,1.01,,0.039,68.0,16.7769,36.22315,228.25,0.61,0.09,0.88,0.11
7,,1.01,,0.039,68.0,16.7769,36.22315,228.25,0.64,0.09,0.78,0.11
8,,2.17,,0.033,137.0,15.19465,36.1498,212.05,5.5,0.0,1.76,0.38
9,,2.17,,0.033,137.0,15.19465,36.1498,212.05,5.44,0.01,1.76,0.39
10,,1.75,,0.047,200.0,14.0739,35.9762,207.65,7.57,0.0,2.54,0.52
11,,1.75,,0.047,200.0,14.0739,35.9762,207.65,7.54,0.0,2.63,0.5
12,,2.33,,0.119,302.0,13.07565,35.81725,204.95,10.11,0.0,3.51,0.64
13,,2.33,,0.119,302.0,13.07565,35.81725,204.95,10.08,0.0,3.41,0.64
14,,2.2,,0.111,404.0,12.29865,35.73825,197.85,12.39,0.0,4.78,0.79
15,,2.2,,0.111,404.0,12.29865,35.73825,197.85,12.4,0.0,4.68,0.79
16,,0.96,,0.052,506.0,11.81405,35.8341,185.8,13.43,0.0,6.24,0.85
17,,0.96,,0.052,506.0,11.81405,35.8341,185.8,13.28,0.0,6.24,0.84
18,,2.55,,0.071,648.0,12.93485,36.3099,191.5,10.59,0.0,5.07,0.65
19,,2.55,,0.071,648.0,12.93485,36.3099,191.5,10.66,0.0,5.26,0.66
20,,1.52,,0.061,784.0,12.8688,36.3414,190.3,11.26,0.0,5.75,0.69
21,,1.52,,0.061,784.0,12.8688,36.3414,190.3,11.21,0.0,5.65,0.69
22,,1.78,,,884.0,12.5199,36.32035,184.95,12.21,0.0,6.34,0.76
23,,1.78,,,884.0,12.5199,36.32035,184.95,12.15,0.0,6.34,0.76
24,,1.61,0.00013000000000000002,,909.0,12.5434,36.361999999999995,188.6,12.2,0.0,6.63,0.74
25,,1.61,0.00013000000000000002,,909.0,12.5434,36.361999999999995,188.6,12.21,0.0,6.73,0.74
26,,1.83,,,1000.0,12.5659,36.4571,187.0,12.07,0.0,6.63,0.73
27,,1.83,,,1000.0,12.5659,36.4571,187.0,12.08,0.0,6.53,0.74
28,,,,,1162.0,12.5304,36.5157,185.3,12.33,0.0,7.02,0.75
29,,,,,1162.0,12.5304,36.5157,185.3,12.33,0.0,7.02,0.75
30,,1.54,,0.027,1307.0,11.1714,36.2702,178.8,14.6,0.0,9.16,0.92
31,,1.54,,0.027,1307.0,11.1714,36.2702,178.8,14.59,0.0,9.26,0.93
