STNNBR,depth,lat,lon,HgP_pmol_ug,MMHgP_pmol_ug,POC_umolC_L,HgT_pM,Hg0_pM,MMHg_pM,DMHg_pM,SILCAT,NITRAT,NITRIT,PHSPHT,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM
28,2550,-11.63,-132.5,0.02,0.0,0.04,1.07,0.02,,0.02,137.14,36.01,0.0,2.575,2578.0,1.825,34.66,160.8,4.84,0.02
28,3000,-11.63,-132.5,0.02,0.0,0.03,,,,0.0,137.385,35.915,0.0,2.57,3036.0,1.68,34.67,173.4,4.84,0.02
28,3500,-11.63,-132.5,0.0,0.0,0.02,,,,0.09,136.505,35.555,0.0,2.525,3546.0,1.56,34.68,184.7,4.84,0.02
28,3900,-11.63,-132.5,0.05,0.0,0.03,,,,0.02,136.355,35.495,0.0,2.52,3955.0,1.56,34.68,190.1,4.84,0.02
28,4014,-11.63,-132.5,0.01,0.0,0.04,,,,0.11,136.16,35.505,0.0,2.525,4072.0,1.56,34.68,191.9,4.84,0.02
30,30,-11.58,-136.98,0.0,0.0,1.05,0.25,0.04,0.03,,1.56,2.505,0.05,0.36,30.0,27.52333333,35.87,211.7333333,4.73,0.12
30,86,-11.58,-136.98,0.0,0.0,0.94,,,,,1.465,2.825,0.08,0.475,86.0,26.57333333,35.87333333,206.56666669999998,4.75,0.226666667
30,156,-11.58,-136.98,0.01,0.0,0.35,,,,,1.17,1.36,2.635,0.5,156.0,22.72333333,36.16,188.5,4.796666667,0.056666667000000004
30,361,-11.58,-136.98,0.01,0.52,0.17,0.65,0.16,,,22.45,29.34,0.0,2.21,362.0,10.39333333,34.69666667,65.26666667,4.81,0.02
30,461,-11.58,-136.98,0.0,0.57,0.14,0.88,0.08,,,30.795,32.67,0.0,2.245,463.0,8.356666667,34.62,95.8,4.81,0.02
30,712,-11.58,-136.98,0.0,0.0,0.09,0.8,0.14,,,49.245,40.175,0.0,2.735,716.0,6.193333332999999,34.53333333,66.33333333,4.82,0.02
