Year,sta,depth,lat,lon,Hg_total,Hg_total_flag,Hg0,Hg0_flag,MMHg_fM,MMHg_flag,DMHg_fM,DMHg_flag
2011,6,420,37.61,-68.39,1.40,2,0.35,2,,4,301.00,2
2011,6,485,37.61,-68.39,1.46,2,0.45,2,,4,652.00,2
2011,6,600,37.61,-68.39,1.01,2,0.46,2,,4,165.00,2
2011,6,665,37.61,-68.39,1.03,2,0.46,2,141.00,2,189.00,2
2011,6,750,37.61,-68.39,0.97,2,0.40,2,71.00,2,213.00,2
2011,6,850,37.61,-68.39,0.90,2,0.33,2,30.00,2,219.00,2
2011,6,965,37.61,-68.39,0.83,2,0.30,2,77.00,2,45.00,2
2011,6,1085,37.61,-68.39,0.89,2,0.32,2,36.00,2,0.00,2
2011,6,1200,37.61,-68.39,1.06,2,0.36,2,84.00,2,121.00,2
2011,6,1300,37.61,-68.39,1.07,2,0.44,2,68.00,2,,4
2011,6,1400,37.61,-68.39,1.10,2,0.47,2,68.00,2,134.00,2
2011,6,1500,37.61,-68.39,0.96,2,0.42,2,9.00,2,78.00,2
2011,6,1600,37.61,-68.39,1.00,2,0.42,2,50.00,2,,4
2011,6,1700,37.61,-68.39,1.05,2,0.43,2,,4,240.00,2
2011,6,1800,37.61,-68.39,0.93,2,0.39,2,,4,273.00,2
2011,6,1950,37.61,-68.39,0.92,2,0.45,2,,4,133.00,2
2011,6,2100,37.61,-68.39,0.98,2,0.47,2,21.00,2,347.00,2
2011,6,2400,37.61,-68.39,1.00,2,0.47,2,129.00,2,483.00,3
2011,6,2700,37.61,-68.39,1.07,2,0.61,2,96.00,2,242.00,2
2011,6,3300,37.61,-68.39,1.11,2,0.52,2,72.00,2,304.00,2
2011,6,3600,37.61,-68.39,1.23,2,0.41,2,,4,500.00,2
2011,6,3800,37.61,-68.39,1.35,2,0.61,2,,4,272.00,2
2011,6,4000,37.61,-68.39,1.38,2,0.48,2,147.00,2,498.00,2
2011,6,4200,37.61,-68.39,1.16,2,0.52,2,165.00,2,365.00,2
2011,6,4435,37.61,-68.39,1.29,2,0.58,2,121.00,2,307.00,2
2011,6,4535,37.61,-68.39,1.39,2,0.50,2,92.00,2,185.00,2
2011,8,2,35.42,-66.52,0.62,2,,9,,4,,4
