Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT
2010,5,3001,31.01,-22,0.93,0.4,,,3045,2.7907,34.9413,246,4.6812,0.004,34.64,20.38,0,1.42
2010,5,3301,31.01,-22,0.91,0.38,24,298,3352,2.6352,34.9248,244.4,4.6813,0.004,38.55,20.86,0,1.46
2010,5,3301,31.01,-22,0.91,0.38,24,298,3352,2.6352,34.9248,244.4,4.6813,0.004,38.55,20.88,0,1.46
2010,5,3600,31.01,-22,0.88,0.35,20,205,3658,2.5285,34.9115,244.7,4.6813,0.004,41.67,21.26,0,1.48
2010,5,3600,31.01,-22,0.88,0.35,20,205,3658,2.5285,34.9115,244.7,4.6813,0.004,41.67,21.22,0,1.49
2010,5,3899,31.01,-22,1.01,0.32,33,182,3964,2.4615,34.9016,244.7,4.6813,0.004,43.43,21.41,0,1.5
2010,5,3899,31.01,-22,1.01,0.32,33,182,3964,2.4615,34.9016,244.7,4.6813,0.004,43.53,21.44,0,1.5
2010,5,4199,31.01,-22,0.93,0.35,21,,4272,2.4175,34.8937,245.2,4.6813,0.004,45.09,21.55,0,1.51
2010,5,4199,31.01,-22,0.93,0.35,21,,4272,2.4175,34.8937,245.2,4.6813,0.004,45.09,21.53,0,1.5
2010,5,4549,31.01,-22,0.87,0.36,,,4632,2.4101,34.8884,244.7,4.6813,0.004,46.75,21.61,0,1.51
2010,5,4549,31.01,-22,0.87,0.36,,,4632,2.4101,34.8884,244.7,4.6813,0.004,46.16,21.53,0,1.51
2010,5,4899,31.01,-22,,0.37,24,,4993,2.4378,34.886,244.5,4.6787,0.004,46.75,21.54,0,1.51
2010,5,4899,31.01,-22,,0.37,24,,4993,2.4378,34.886,244.5,4.6787,0.004,47.92,21.56,0,1.51
2010,6,41,27.52,-22,0.5,0.07,24,,41,24.3568,37.2725,209.6,4.6026,0.018,0.49,0,0,0.02
2010,6,41,27.52,-22,0.5,0.07,24,,41,24.3568,37.2725,209.6,4.6026,0.018,0.29,0.01,0,0.02
2010,6,66,27.52,-22,0.34,0.06,23,,66,22.8641,37.1319,226.9,4.6024,0.036,0.29,0,0,0.02
