Station_ID	Sample_Depth	Start_Latitude	Start_Longitude	Hg0_pM	HgT_pM	DMHg_pM	MMHg_pM	TRANSM	FLUORM	CTDPRS	CTDTMP	CTDSAL	CTDOXY	SILCAT	NITRAT	NITRIT	PHSPHT
26	499	83.729	-174.399	0.105	0.49	0.0315	0.0895	4.4644	0.01	505	0.6778	34.8717	301.2	5.67	11.94	0	0.81
26	499	83.729	-174.399	0.105	0.49	0.0315	0.0895	4.4644	0.01	505.1	0.7118	34.8745	299.6	5.66	11.9	0	0.82
26	499	83.729	-174.399	0.105	0.49	0.0315	0.0895	4.4644	0.01	505.1	0.7118	34.8745	299.6	5.66	11.91	0	0.82
26	749	83.729	-174.399	0.07	0.66	0.045	0.091	4.4667	0.01	758.6	0.1365	34.8774	303.1	5.96	12.04	0	0.83
26	749	83.729	-174.399	0.07	0.66	0.045	0.091	4.4667	0.01	758.6	0.1365	34.8774	303.1	6.05	12.06	0	0.84
26	749	83.729	-174.399	0.07	0.66	0.045	0.091	4.4651	0.01	758.6	0.1365	34.8774	303.1	5.96	12.04	0	0.83
26	749	83.729	-174.399	0.07	0.66	0.045	0.091	4.4651	0.01	758.6	0.1365	34.8774	303.1	6.05	12.06	0	0.84
26	999	83.729	-174.399	0	0.49	0.047	0.09	4.4679	0.01	1012.5	-0.1363	34.8908	305	6.54	12.29	0	0.86
26	999	83.729	-174.399	0	0.49	0.047	0.09	4.4679	0.01	1012.5	-0.1363	34.8908	305	6.54	12.34	0	0.86
26	1249	83.729	-174.399	0.48	0.57	0.026	0.04	4.4689	0.01	1266.3	-0.2998	34.9061	303.8	7.71	12.92	0	0.9
26	1249	83.729	-174.399	0.48	0.57	0.026	0.04	4.4689	0.01	1266.3	-0.2998	34.9061	303.8	7.71	12.94	0	0.89
26	1814	83.729	-174.399	0.08	0.57	0.022	0.045	4.4701	0.01	1841.6	-0.407	34.9427	298.2	11.33	14.13	0	0.99
26	1814	83.729	-174.399	0.08	0.57	0.022	0.045	4.4701	0.01	1841.6	-0.407	34.9427	298.2	11.43	14.14	0	0.98
26	1999	83.729	-174.399	0.08	0.71	0.029	0.049	4.4702	0.01	2030.4	-0.4035	34.948	298.4	12.11	14.27	0	1
26	1999	83.729	-174.399	0.08	0.71	0.029	0.049	4.4702	0.01	2030.4	-0.4035	34.948	298.4	12.11	14.31	0	0.99
26	2249	83.729	-174.399	0.04	0.65	0.034	0.114	4.4701	0.011	2285.6	-0.3896	34.9521	299.2	12.6	14.4	0	1
26	2249	83.729	-174.399	0.04	0.65	0.034	0.114	4.4701	0.011	2285.6	-0.3896	34.9521	299.2	12.6	14.44	0	1.01
26	2539	83.729	-174.399	0.08	0.84	0.023	0.024	4.467	0.01	2582.1	-0.369	34.9539	301.5	12.89	14.45	0	1.01
26	2539	83.729	-174.399	0.08	0.84	0.023	0.024	4.467	0.01	2582.1	-0.369	34.9539	301.5	12.79	14.47	0	1.02
26	2769	83.729	-174.399	0.05	0.8	0.018	0.008	4.4689	0.01	2817.3	-0.3561	34.9548	305.1	12.79	14.41	0	1
26	2769	83.729	-174.399	0.05	0.8	0.018	0.008	4.4689	0.01	2817.3	-0.3561	34.9548	305.1	12.79	14.45	0	1.01
26	2849	83.729	-174.399	0.21	0.75	0.036	0	4.4647	0.01	2899.4	-0.3514	34.9549	306	12.79	14.43	0	1.01
26	2849	83.729	-174.399	0.21	0.75	0.036	0	4.4647	0.01	2899.4	-0.3514	34.9549	306	12.79	14.45	0	1.01
26	2919	83.729	-174.399	0.28	0.83	0.032	0.024	4.4567	0.01	2971.2	-0.3456	34.9548	306.8	12.79	14.44	0	1.01
26	2919	83.729	-174.399	0.28	0.83	0.032	0.024	4.4567	0.01	2971.2	-0.3456	34.9548	306.8	12.79	14.46	0	1.01
30	18	87.64	-179.593	0.26		0.003	0.301	4.4374	0.097	18.3	-1.4333	28.3995	378.6	11.19	0.35	0.09	0.82
30	18	87.64	-179.593	0.26		0.003	0.301	4.4374	0.097	18.3	-1.4333	28.3995	378.6	11.09	0.49	0.1	0.81
30	18	87.64	-179.593	0.26		0.003	0.301	4.4374	0.07	18.3	-1.4333	28.3995	378.6	11.19	0.35	0.09	0.82
30	18	87.64	-179.593	0.26		0.003	0.301	4.4374	0.07	18.3	-1.4333	28.3995	378.6	11.09	0.49	0.1	0.81
30	23	87.64	-179.593	0.23	0.77	0.012	0.105	4.4363	0.093	22.9	-1.3993	28.8573	376.3	11.08	0.8	0.08	0.81
30	23	87.64	-179.593	0.23	0.77	0.012	0.105	4.4363	0.093	22.9	-1.3993	28.8573	376.3	10.99	0.59	0.09	0.81
30	23	87.64	-179.593	0.23	0.77	0.012	0.105	4.4289	0.062	22.9	-1.3993	28.8573	376.3	11.08	0.8	0.08	0.81
30	23	87.64	-179.593	0.23	0.77	0.012	0.105	4.4289	0.062	22.9	-1.3993	28.8573	376.3	10.99	0.59	0.09	0.81
30	39	87.64	-179.593	0.23	0.9	0.005	0.081	4.4444	0.063	39.2	-0.9418	29.9886	339.2	11.28	0.33	0.09	0.82
30	39	87.64	-179.593	0.23	0.9	0.005	0.081	4.4444	0.063	39.2	-0.9418	29.9886	339.2	11.28	0.21	0.09	0.8
30	39	87.64	-179.593	0.23	0.9	0.005	0.081	4.4412	0.055	39.2	-0.9418	29.9886	339.2	11.28	0.33	0.09	0.82
30	39	87.64	-179.593	0.23	0.9	0.005	0.081	4.4412	0.055	39.2	-0.9418	29.9886	339.2	11.28	0.21	0.09	0.8
30	55	87.64	-179.593	0.1	1.21	0.008	0.042	4.4506	0.031	55.6	-0.3812	31.1428	322.5	10.77	3.24	0	0.66
30	55	87.64	-179.593	0.1	1.21	0.008	0.042	4.4506	0.031	55.6	-0.3812	31.1428	322.5	10.67	3.38	0	0.67
30	55	87.64	-179.593	0.1	1.21	0.008	0.042	4.4479	0.031	55.6	-0.3812	31.1428	322.5	10.77	3.24	0	0.66
30	55	87.64	-179.593	0.1	1.21	0.008	0.042	4.4479	0.031	55.6	-0.3812	31.1428	322.5	10.67	3.38	0	0.67
30	99	87.64	-179.593	0.09	0.54	0.01	0.11	4.4572	0.019	100.1	-1.4353	33.9542	300.9	6.94	7.75	0	0.68
30	99	87.64	-179.593	0.09	0.54	0.01	0.11	4.4572	0.019	100.1	-1.4353	33.9542	300.9	7.43	7.76	0	0.69
30	99	87.64	-179.593	0.09	0.54	0.01	0.11	4.4561	0.018	100.1	-1.4353	33.9542	300.9	6.94	7.75	0	0.68
30	99	87.64	-179.593	0.09	0.54	0.01	0.11	4.4561	0.018	100.1	-1.4353	33.9542	300.9	7.43	7.76	0	0.69
30	124	87.64	-179.593	0.26	0.55	0.033	0.156	4.4628	0.015	125.1	-1.0845	34.2448	301.9	5.37	8.33	0	0.67
