Station,depth,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,PHSPHT,PHSPHT_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NITRAT_FLAG_W,NITRAT
8,1993,2018.20,0,2.71,1,34.77,1,186.31,1,1.91,1.00,57.75,1,0.01,6,1,28.01
8,1996,2021.20,0,2.73,1,34.77,1,197.92,1,1.94,1.00,56.80,1,0.01,6,1,27.98
8,1997,2022.60,0,2.73,1,34.77,1,198.06,1,1.94,1.00,56.72,1,0.01,6,1,27.78
8,2244,2273.60,0,2.59,1,34.80,1,193.84,1,1.85,1.00,57.60,1,0.01,6,1,26.46
8,2492,2526.20,0,2.43,1,34.81,1,197.10,1,1.82,1.00,60.30,1,0.01,6,1,26.17
8,2497,2531.00,0,2.46,1,34.82,1,212.41,1,1.82,1.00,58.32,1,0.01,6,1,26.17
8,2498,2532.00,0,2.46,1,34.82,1,212.49,1,1.81,1.00,58.00,1,0.01,6,1,25.91
8,2741,2780.20,0,2.28,1,34.82,1,201.63,1,1.80,1.00,61.76,1,0.01,6,1,25.65
8,2991,3035.50,0,2.23,1,34.82,1,202.01,1,1.83,1.00,29.40,3,0.01,3,3,26.08
8,2995,3040.30,0,2.23,1,34.82,1,219.08,1,1.81,1.00,62.25,1,0.01,6,1,25.67
8,2997,3041.50,0,2.23,1,34.82,1,219.02,1,1.81,1.00,62.08,1,0.01,6,1,25.58
8,3196,3245.00,0,2.18,1,34.82,1,219.06,1,1.83,1.00,64.46,1,0.01,6,1,25.75
8,3196,3245.60,0,2.18,1,34.82,1,218.95,1,1.83,1.00,64.77,1,0.01,6,1,25.73
8,3310,3362.30,0,2.15,1,34.81,1,200.39,1,1.84,1.00,66.91,1,0.01,6,1,25.96
8,3366,3419.00,0,2.10,1,34.81,1,219.97,1,,9.00,,9,,9,9,0.00
8,3368,3421.50,0,2.10,1,34.81,1,220.03,1,1.87,1.00,67.86,1,0.01,6,1,26.07
8,3375,3428.30,0,2.12,1,34.81,1,200.17,1,1.85,1.00,68.13,1,0.01,6,1,26.00
9,7,6.60,0,14.14,1,34.82,1,253.64,1,0.37,1.00,0.51,1,0.06,1,1,2.38
9,7,6.70,0,14.14,1,34.82,1,253.41,1,0.38,1.00,0.53,1,0.06,1,1,2.26
